name;reported;released
ZDI-16-019;2015-10-08;2016-01-12
ZDI-16-165;2015-11-02;2016-02-10
ZDI-16-177;2015-11-12;2016-03-08
ZDI-16-178;2015-11-24;2016-03-08
ZDI-16-223;2016-02-25;2016-03-28
ZDI-16-232;2016-01-05;2016-04-12
ZDI-16-233;2016-01-26;2016-04-12
ZDI-16-282;2016-03-12;2016-05-10
ZDI-16-283;2016-03-12;2016-05-10
ZDI-16-338;2016-04-01;2016-05-18
ZDI-16-355;2016-04-01;2016-05-24
ZDI-16-367;2016-04-01;2016-06-16
ZDI-16-368;2016-04-01;2016-06-16
ZDI-16-371;2016-04-07;2016-06-22
ZDI-16-411;2016-04-07;2016-07-12
ZDI-16-412;2016-05-05;2016-07-12
ZDI-16-452;2016-05-05;2016-08-09
ZDI-16-509;2016-05-23;2016-09-16
ZDI-16-511;2016-05-26;2016-09-16
ZDI-16-513;2016-07-08;2016-09-16
ZDI-16-532;2016-07-12;2016-10-11
